recording,n_components,n_removed,removed_labels
sub-04_ses-01_task-trial10_eeg,30,8,eye blink;eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-04_ses-01_task-trial11_eeg,30,3,eye blink;eye blink;muscle artifact
sub-04_ses-01_task-trial12_eeg,30,6,eye blink;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact
sub-04_ses-02_task-trial01_eeg,30,5,eye blink;muscle artifact;heart beat;muscle artifact;eye blink
sub-05_ses-01_task-trial01_eeg,30,10,eye blink;eye blink;heart beat;eye blink;muscle artifact;eye blink;muscle artifact;eye blink;muscle artifact;muscle artifact
sub-05_ses-01_task-trial02_eeg,30,3,eye blink;eye blink;eye blink
sub-05_ses-01_task-trial03_eeg,30,6,eye blink;eye blink;eye blink;muscle artifact;eye blink;muscle artifact
sub-05_ses-01_task-trial04_eeg,30,3,eye blink;eye blink;eye blink
sub-05_ses-01_task-trial05_eeg,30,4,eye blink;eye blink;eye blink;muscle artifact
sub-05_ses-01_task-trial06_eeg,30,3,eye blink;eye blink;muscle artifact
sub-05_ses-01_task-trial07_eeg,30,10,eye blink;eye blink;muscle artifact;eye blink;muscle artifact;muscle artifact;muscle artifact;muscle artifact;heart beat;muscle artifact
sub-05_ses-01_task-trial08_eeg,30,6,eye blink;eye blink;eye blink;eye blink;muscle artifact;muscle artifact
sub-05_ses-01_task-trial09_eeg,30,5,eye blink;eye blink;eye blink;eye blink;eye blink
sub-05_ses-01_task-trial10_eeg,30,6,eye blink;eye blink;heart beat;eye blink;muscle artifact;muscle artifact
sub-05_ses-01_task-trial11_eeg,30,2,eye blink;eye blink
sub-05_ses-01_task-trial12_eeg,30,6,eye blink;eye blink;eye blink;eye blink;muscle artifact;muscle artifact
